Unnamed: 0,arrival_time,departure_time,street_marker,area,vio_time,vio_stay_time,date,week,noon
17917763,2016/11/29 18:53,19:30,675W,City Square,19:23,7,2016/11/29,2,2
17918774,2016/11/29 11:14,11:58,4382E,The Mac,11:44,14,2016/11/29,2,1
17919283,2016/11/29 18:23,20:30,10015S,Southbank,20:23,7,2016/11/29,2,2
17922844,2016/11/29 9:06,9:27,2350N,Windsor,9:21,6,2016/11/29,2,1
17937075,2016/11/29 9:02,17:09,C9142,University,11:02,367,2016/11/29,2,1
17953700,2016/11/29 12:33,12:59,7033S,Victoria Market,12:48,11,2016/11/29,2,2
17995510,2016/11/29 9:33,11:39,12436N,Jolimont,11:33,6,2016/11/29,2,1
18005227,2016/11/29 11:45,12:24,11503S,West Melbourne,12:00,24,2016/11/29,2,2
18040321,2016/11/29 11:51,12:13,13215S,Docklands,12:06,7,2016/11/29,2,2
18112882,2016/11/29 9:10,10:32,C2944,Hardware,10:10,22,2016/11/29,2,1
18122950,2016/11/29 11:20,12:31,C700,City Square,12:20,11,2016/11/29,2,2
18168076,2016/11/29 13:10,15:30,1685W,Rialto,15:10,20,2016/11/29,2,2
18177665,2016/11/29 12:14,12:41,13576E,Docklands,12:29,12,2016/11/29,2,2
18186706,2016/11/29 10:58,15:47,C5958,Queensberry,14:58,49,2016/11/29,2,2
18207059,2016/11/29 10:33,11:30,1847S,Rialto,11:03,27,2016/11/29,2,1
18208228,2016/11/29 12:51,14:16,6659S,Titles,13:51,25,2016/11/29,2,2
18219907,2016/11/29 7:30,11:37,C13520,Docklands,9:30,127,2016/11/29,2,1
18242677,2016/11/29 12:24,12:55,13045S,Docklands,12:39,16,2016/11/29,2,2
18258874,2016/11/29 16:55,17:33,2849S,Princes Theatre,17:25,8,2016/11/29,2,2
18259545,2016/11/29 12:51,15:28,C6608,Titles,14:51,37,2016/11/29,2,2
18264747,2016/11/29 12:04,15:17,3318N,Regency,15:04,13,2016/11/29,2,2
18275589,2016/11/29 7:30,8:51,3830N,Titles,8:30,21,2016/11/29,2,1
18288848,2016/11/29 17:17,20:30,C516,Princes Theatre,19:17,73,2016/11/29,2,2
18293235,2016/11/29 15:19,17:45,11605S,West Melbourne,17:19,26,2016/11/29,2,2
18313860,2016/11/29 9:30,11:34,746E,Chinatown,10:30,64,2016/11/29,2,1
18314329,2016/11/29 17:24,20:25,2319S,Spencer,19:24,61,2016/11/29,2,2
18344002,2016/11/29 18:52,19:15,13911W,Docklands,19:02,13,2016/11/29,2,2
18352975,2016/11/29 7:59,9:39,10191W,Queensberry,8:59,40,2016/11/29,2,1
18365122,2016/11/29 15:54,18:30,11760E,Jolimont,17:54,36,2016/11/29,2,2
18389634,2016/11/29 14:55,16:09,334E,Hyatt,15:55,14,2016/11/29,2,2
18390453,2016/11/29 12:16,14:29,C13512,Docklands,14:16,13,2016/11/29,2,2
18391932,2016/11/29 11:24,12:03,13312N,Docklands,11:39,24,2016/11/29,2,1
18395207,2016/11/29 12:18,14:29,1583S,Banks,14:18,11,2016/11/29,2,2
18453453,2016/11/29 11:35,12:53,1443W,Family,12:05,48,2016/11/29,2,2
18471274,2016/11/29 11:35,12:53,C666,City Square,12:35,18,2016/11/29,2,2
18485979,2016/11/29 9:25,10:02,13336E,Docklands,9:55,7,2016/11/29,2,1
18486416,2016/11/29 11:49,20:30,C2712,Princes Theatre,13:49,401,2016/11/29,2,2
18501932,2016/11/29 11:04,17:33,13030N,Docklands,13:04,269,2016/11/29,2,2
18514618,2016/11/29 13:56,16:10,C2668,Princes Theatre,15:56,14,2016/11/29,2,2
18518917,2016/11/29 13:24,16:31,C13644,Docklands,15:24,67,2016/11/29,2,2
18519602,2016/11/29 18:10,20:30,C2692,Princes Theatre,20:10,20,2016/11/29,2,2
18528936,2016/11/29 13:22,13:58,6006N,Mint,13:52,6,2016/11/29,2,2
18571425,2016/11/29 9:53,11:10,C1121,McKillop,10:53,17,2016/11/29,2,1
18581182,2016/11/29 11:45,12:26,13253S,Docklands,12:00,26,2016/11/29,2,2
18591017,2016/11/29 17:40,20:30,562E,Regency,19:40,50,2016/11/29,2,2
18619110,2016/11/29 12:21,13:46,13216N,Docklands,13:21,25,2016/11/29,2,2
18626356,2016/11/29 12:19,13:25,2153S,Twin Towers,13:19,6,2016/11/29,2,2
18629547,2016/11/29 7:41,16:36,13452E,Docklands,9:41,415,2016/11/29,2,1
18633777,2016/11/29 13:52,14:40,13228N,Docklands,14:07,33,2016/11/29,2,2
18650597,2016/11/29 9:14,10:20,983W,Banks,10:14,6,2016/11/29,2,1
18689598,2016/11/29 8:54,10:42,C1162,Hardware,9:54,48,2016/11/29,2,1
18729446,2016/11/29 11:20,12:44,10122E,Queensberry,12:20,24,2016/11/29,2,2
18730904,2016/11/29 7:36,10:32,C13504,Docklands,9:36,56,2016/11/29,2,1
18743376,2016/11/29 16:17,19:19,C1176,Hardware,17:17,122,2016/11/29,2,2
18743631,2016/11/29 11:42,14:57,11718E,Jolimont,13:42,75,2016/11/29,2,2
18745186,2016/11/29 8:00,11:42,13306E,Docklands,10:00,102,2016/11/29,2,1
18775449,2016/11/29 11:20,13:54,2822N,Princes Theatre,12:20,94,2016/11/29,2,2
18824525,2016/11/29 12:18,13:41,427W,Windsor,13:18,23,2016/11/29,2,2
18849358,2016/11/29 13:06,15:33,2374N,Windsor,14:06,87,2016/11/29,2,2
18857387,2016/11/29 14:51,16:23,C1168,Hardware,15:51,32,2016/11/29,2,2
18857473,2016/11/29 12:49,13:26,793W,Library,13:19,7,2016/11/29,2,2
18895432,2016/11/29 13:26,14:09,13853S,Docklands,13:56,13,2016/11/29,2,2
18915591,2016/11/29 18:32,18:53,13412E,Docklands,18:47,6,2016/11/29,2,2
18928619,2016/11/29 18:50,19:30,779W,Chinatown,19:20,10,2016/11/29,2,2
18950400,2016/11/29 12:21,13:29,8808E,Southbank,13:21,8,2016/11/29,2,2
18990528,2016/11/29 15:44,18:30,746E,Chinatown,16:44,106,2016/11/29,2,2
19008040,2016/11/29 15:15,15:42,3874N,Mint,15:30,12,2016/11/29,2,2
19014971,2016/11/29 12:22,13:45,C2970,Hardware,13:22,23,2016/11/29,2,2
19017235,2016/11/29 11:06,14:15,9974N,Southbank,14:06,9,2016/11/29,2,2
19033666,2016/11/29 12:26,13:06,7017S,Victoria Market,12:41,25,2016/11/29,2,2
19033742,2016/11/29 11:12,13:45,3414N,Library,13:12,33,2016/11/29,2,2
19049893,2016/11/29 15:41,16:07,7013S,Victoria Market,15:56,11,2016/11/29,2,2
19051476,2016/11/29 14:12,15:25,746E,Chinatown,15:12,13,2016/11/29,2,2
19052928,2016/11/29 18:01,20:30,C1270,Titles,20:01,29,2016/11/29,2,2
19069870,2016/11/29 15:05,16:24,2337S,Windsor,16:05,19,2016/11/29,2,2
19087536,2016/11/29 12:33,12:56,12280N,Jolimont,12:48,8,2016/11/29,2,2
19102482,2016/11/29 7:30,12:23,13220N,Docklands,8:30,233,2016/11/29,2,1
19113669,2016/11/29 10:14,11:26,85W,Regency,11:14,12,2016/11/29,2,1
